shape Re Cd Cl
moon 61 0.16176195817881173 -0.0008884115780832007
moon 63 0.15403038375790146 -0.000851390175075262
moon 65 0.14692449977991595 -0.0008170922937525226
moon 67 0.14037500352177235 -0.0007852331491492349
moon 69 0.1343221383156308 -0.0007555663552383087
moon 71 0.1287141410844349 -0.0007278776622999639
moon 73 0.12350597847039983 -0.0007019798711100025
moon 75 0.11865831158350398 -0.0006777086775829814
moon 77 0.11413664310201621 -0.000654919257760553
moon 79 0.10991061076192948 -0.0006334834454259504
moon 81 0.10595339908342469 -0.000613287386882555
moon 83 0.10224124714904759 -0.000594229582054093
moon 85 0.09875303483878306 -0.0005762192400869419
moon 87 0.0954699334838251 -0.0005591748923235968
moon 89 0.09237510967404203 -0.0005430232169592253
moon 91 0.08945347313023809 -0.0005276980386960196
moon 93 0.08669146127000976 -0.0005131394737150674
