shape size Cd Cl
rect 0.34375 2.912221431943846 -0.007162659842425034
rect 0.359375 3.2500496050962813 -0.007421991575978452
halfcircle 0.046875 1.8958412822625232 -0.005512346188369778
halfcircle 0.0625 1.5851644679250825 -0.005452494513925964
halfcircle 0.078125 1.4156669519877305 -0.006010948191980116
halfcircle 0.09375 1.4993495106990335 -0.004926834278063006
halfcircle 0.109375 1.3644037041037018 -0.005494541627711375
halfcircle 0.125 1.2938165321564927 -0.0056458371522908205
halfcircle 0.140625 1.345526839444597 -0.005508654009285332
halfcircle 0.15625 1.302066960962572 -0.005331513147775841
halfcircle 0.171875 1.2760886180853535 -0.005604469073476623
halfcircle 0.1875 1.25037513331997 -0.0061363078794412235
halfcircle 0.203125 1.31680304113398 -0.005372448170895952
halfcircle 0.21875 1.2923115995614622 -0.006075677947788835
halfcircle 0.234375 1.3094987972749266 -0.006256765070924753
halfcircle 0.25 1.3669325285338654 -0.006055464238864695
halfcircle 0.265625 1.3844569272514518 -0.006122349884544205
halfcircle 0.28125 1.408766137364908 -0.006579765672878217
halfcircle 0.296875 1.446643767718519 -0.007025256871178052
halfcircle 0.3125 1.5225717629869748 -0.006458661003324544
halfcircle 0.328125 1.56880485607954 -0.006999188850689259
halfcircle 0.34375 1.6075667832374532 -0.007729806847990594
halfcircle 0.359375 1.678666594314446 -0.007985897697360444
triangle 0.046875 1.7378445306392643 -0.006237948816834291
triangle 0.0625 1.7378445306392643 -0.006237948816834291
triangle 0.078125 1.4951362033089397 -0.0061906653032709775
triangle 0.09375 1.359263292659902 -0.006305180374142223
triangle 0.109375 1.359263292659902 -0.006305180374142223
triangle 0.125 1.2621241885475174 -0.006426616864667364
triangle 0.140625 1.2058662363618755 -0.006625440438477394
triangle 0.15625 1.2058662363618755 -0.006625440438477394
triangle 0.171875 1.1360822002830464 -0.00701720412310551
triangle 0.1875 1.1360822002830464 -0.00701720412310551
triangle 0.203125 1.112807394063553 -0.007180701123158812
triangle 0.21875 1.1099615577023518 -0.007450093921869616
triangle 0.234375 1.1099615577023518 -0.007450093921869616
triangle 0.25 1.1015145122560142 -0.007616961480431255
triangle 0.265625 1.1119664169401364 -0.007917075085478054
triangle 0.28125 1.1119664169401364 -0.007917075085478054
triangle 0.296875 1.1141148919115682 -0.008085562942027233
triangle 0.3125 1.1351887298519985 -0.008419507813714044
triangle 0.328125 1.1351887298519985 -0.008419507813714044
triangle 0.34375 1.1765383360176633 -0.008963750094995258
triangle 0.359375 1.1765383360176633 -0.008963750094995258
moon 0.046875 1.948702432812965 -0.005925249080838754
moon 0.0625 1.5903551237790134 -0.005634569013109373
moon 0.078125 1.416592756939254 -0.006318816074138688
moon 0.09375 1.5011513663313194 -0.005210131290154861
moon 0.109375 1.3629544946656056 -0.005602154264977971
moon 0.125 1.2904353953839736 -0.005770359081081701
moon 0.140625 1.3428774460322443 -0.005625047137831483
moon 0.15625 1.2979445031844814 -0.005482004928927481
moon 0.171875 1.2724545263946947 -0.0056326086982253646
moon 0.1875 1.2474084225245108 -0.006081103067354521
moon 0.203125 1.3126459759989553 -0.0054176150229255085
moon 0.21875 1.288768926093285 -0.006040116172514977
moon 0.234375 1.3067340635080757 -0.006166231215439315
moon 0.25 1.3628798126278665 -0.006020243430941308
moon 0.265625 1.3811436619167103 -0.006031984130663535
moon 0.28125 1.4061237091981378 -0.006451215290495769
moon 0.296875 1.4433649846913539 -0.00694132500221766
moon 0.3125 1.5195139261057187 -0.00634968000001006
moon 0.328125 1.5653469244597527 -0.006942014818220084
moon 0.34375 1.6044844451060079 -0.007611482444883162
moon 0.359375 1.6760609322811533 -0.007852146161578614
bullet 0.046875 1.7807962450441723 -0.009999390070606639
bullet 0.0625 1.4821362974836088 -0.00917097289901292
bullet 0.078125 1.3226029167041933 -0.008425330028528378
bullet 0.09375 1.4258124235749092 -0.0082437361863922
bullet 0.109375 1.2912628494680964 -0.008472639749416413
bullet 0.125 1.2339820179574146 -0.008378668380494322
bullet 0.140625 1.3070795141229572 -0.008307841697267443
bullet 0.15625 1.2683719724735107 -0.007942303759802868
bullet 0.171875 1.255191664622703 -0.008083695001561683
