shape theta Cd Cl
rect 65 0.06593796372852412 0.002175511016007213
rect 70 0.07161648878212 0.0013537393929748183
rect 75 0.07187761483377525 0.000977549245306696
rect 80 0.07792958632659389 0.0005496328292285888
rect 85 0.07760349343630034 0.0012051400648850857
rect 90 0.08594041094496659 -0.0004903298069344448
rect 95 0.07761029590900598 -0.0021328798120632576
rect 100 0.07793492165038671 -0.0015200827221985495
rect 105 0.07190687516762664 -0.0018233806123160695
rect 110 0.07163462144288722 -0.002239682555339463
rect 115 0.06598092896943808 -0.0033016109039782885
rect 120 0.06612200111208344 -0.004786841068349144
rect 125 0.06747544713972849 -0.0015817410874887413
rect 130 0.0657209619789771 -0.001397383327035037
rect 135 0.0657499482212963 -0.0004741885279821218
rect 140 0.06571151730261494 0.0004542918102190446
rect 145 0.06746140820122187 0.0006511558666922909
rect 150 0.066018284348117 0.003777293744092481
rect 155 0.06593796372852412 0.002175511016007213
rect 160 0.07161648878212 0.0013537393929748183
rect 165 0.07187761483377525 0.000977549245306696
rect 170 0.07792958632659389 0.0005496328292285888
rect 175 0.07760349343630034 0.0012051400648850857
rect 180 0.08594041094496659 -0.0004903298069344448
halfcircle 0 0.07320362616864945 -0.0004317381789057346
halfcircle 5 0.07317123531188241 0.001708768203503614
halfcircle 10 0.07349553686803141 0.0002854836818766069
halfcircle 15 0.07633918988140413 0.006467497814314765
halfcircle 20 0.07598039852594873 0.008725845887302183
halfcircle 25 0.07682195971753887 0.008167907064027377
halfcircle 30 0.07730582940386845 0.010127219799564824
halfcircle 35 0.07774796410913758 0.008711952989238027
halfcircle 40 0.07850480042831293 0.01639745963927867
halfcircle 45 0.07985357853508865 0.018165769910801252
halfcircle 50 0.0795708260928358 0.017845356499808982
halfcircle 55 0.07549388734349653 0.024539385385067287
halfcircle 60 0.0761702366244214 0.02434093836553348
halfcircle 65 0.07659179863822446 0.030121555594769697
halfcircle 70 0.07639736871433854 0.03056181170736485
halfcircle 75 0.0738676028489596 0.028382545065315554
halfcircle 80 0.07395814470740154 0.027893105335463103
halfcircle 85 0.07288825400540094 0.01166126004141078
halfcircle 90 0.07288825400540094 0.01166126004141078
halfcircle 95 0.07288825400540094 0.01166126004141078
halfcircle 100 0.06059556893516359 -0.010993154523107734
halfcircle 105 0.06049749389500968 -0.011894777709722753
halfcircle 110 0.0577931741666717 -0.02963292881781264
halfcircle 115 0.05839159869776887 -0.03303251529647332
halfcircle 120 0.06023125133362804 -0.04183290199897297
halfcircle 125 0.06219602047597371 -0.04348634256582536
halfcircle 130 0.06643634743496071 -0.0430282273852974
halfcircle 135 0.06841554793380776 -0.04247719696899194
halfcircle 140 0.0705084190478202 -0.044842256886738006
halfcircle 145 0.07646624289418842 -0.036370230533098374
halfcircle 150 0.08045138432109566 -0.03477719324937465
halfcircle 155 0.08389546052132499 -0.031148826186135525
halfcircle 160 0.08343579629069725 -0.028548087457254755
halfcircle 165 0.0908478162320159 -0.02387286221129911
halfcircle 170 0.0888201993283232 -0.015056715446884415
halfcircle 175 0.09251317201173373 -0.008213708625185072
halfcircle 180 0.09059268892586118 5.5620541126694864e-05
triangle 0 0.07093969213151843 -0.0004631083591689225
triangle 5 0.07116803966346431 0.003025219447758514
triangle 10 0.07052148475175057 -0.002514918380425592
triangle 15 0.07243869914180391 -0.0014190656045155632
triangle 20 0.07470545615116589 -0.0033580652237628103
triangle 25 0.07533730534135016 0.0027698858343148474
triangle 30 0.08374344417323876 0.004285332187209974
triangle 35 0.0830463802843538 0.005325173262691783
triangle 40 0.08443463503441923 0.01585061419911618
triangle 45 0.09327586900870584 0.01340125846538147
triangle 50 0.09341003371048481 0.024404754851641168
triangle 55 0.08933251149161942 0.02391000572712148
triangle 60 0.08802957165448921 0.02272384011018675
triangle 65 0.08697443018392559 0.031445624234218435
triangle 70 0.08217091638590505 0.028139604240287247
triangle 75 0.08103930795000115 0.026295959999324825
triangle 80 0.07959632265019018 0.03293237201136841
triangle 85 0.07977632432950164 0.030246498807335178
triangle 90 0.07436297956787119 0.02396159610658889
triangle 95 0.07261601122629577 0.01208959420386413
triangle 100 0.05762884325494505 0.0012501350295179429
